Dc(%) Dc(MBD) dPTime matrixTime localdensityTime relativedistanceTime ccidentificationTime clusterassignTime
6.9 0.327087 0.00101616 3.67118 0.00654951 0.0176553 0.0007712 5.4003e-05
7 0.329793 0.00101616 3.67118 0.00665674 0.017605 0.000805007 5.3633e-05
7.1 0.332413 0.00101616 3.67118 0.00656504 0.019719 0.000791861 5.44e-05
7.2 0.335087 0.00101616 3.67118 0.00668401 0.017665 0.000799753 5.4533e-05
7.3 0.337573 0.00101616 3.67118 0.00674592 0.0177126 0.000780609 5.4071e-05
7.4 0.340013 0.00101616 3.67118 0.00674911 0.0174989 0.000834013 5.545e-05
7.5 0.342673 0.00101616 3.67118 0.00684153 0.0180478 0.000751756 5.354e-05
7.6 0.345193 0.00101616 3.67118 0.00676844 0.0176594 0.000771809 5.4908e-05
7.7 0.347707 0.00101616 3.67118 0.00678686 0.0176064 0.000761263 5.4652e-05
7.8 0.350313 0.00101616 3.67118 0.00677097 0.0188496 0.000784182 5.4351e-05
7.9 0.35282 0.00101616 3.67118 0.00696928 0.0179397 0.000756888 5.3875e-05
8 0.35526 0.00101616 3.67118 0.00695731 0.0176805 0.000823442 5.4012e-05
8.1 0.357873 0.00101616 3.67118 0.00688863 0.0178054 0.000827764 5.4381e-05
8.2 0.360447 0.00101616 3.67118 0.00696582 0.0183432 0.000783663 5.4782e-05
8.3 0.36284 0.00101616 3.67118 0.00691864 0.0175857 0.000746367 5.4638e-05
8.4 0.365287 0.00101616 3.67118 0.0069206 0.0177346 0.000757986 5.4739e-05
8.5 0.367693 0.00101616 3.67118 0.00697832 0.0179459 0.000784213 5.6041e-05
8.6 0.370147 0.00101616 3.67118 0.00700107 0.0182115 0.000762947 5.4256e-05
8.7 0.372353 0.00101616 3.67118 0.0069624 0.0176996 0.000763693 5.3902e-05
8.8 0.37466 0.00101616 3.67118 0.00700573 0.0177523 0.000749053 5.4318e-05
8.9 0.376867 0.00101616 3.67118 0.00695589 0.0192067 0.000752733 8.1173e-05
9 0.379293 0.00101616 3.67118 0.00705462 0.0178329 0.000753263 5.4059e-05
9.1 0.381567 0.00101616 3.67118 0.00702596 0.0196427 0.000776682 7.7792e-05
9.2 0.38406 0.00101616 3.67118 0.00731595 0.0180528 0.000781742 5.4461e-05
9.3 0.386507 0.00101616 3.67118 0.00731761 0.0181615 0.000789374 5.3945e-05
9.4 0.38884 0.00101616 3.67118 0.00712856 0.0177723 0.000800912 5.4837e-05
9.5 0.39108 0.00101616 3.67118 0.00718577 0.0178234 0.000792214 6.6913e-05
9.6 0.393387 0.00101616 3.67118 0.00712094 0.0191462 0.000766177 5.4276e-05
9.7 0.395607 0.00101616 3.67118 0.00719849 0.0181613 0.000746671 5.3692e-05
9.8 0.397867 0.00101616 3.67118 0.00724456 0.0176426 0.000752217 5.4193e-05
9.9 0.400127 0.00101616 3.67118 0.00721283 0.0176811 0.000756273 5.3823e-05
10 0.40228 0.00101616 3.67118 0.00741448 0.02206 0.000989045 7.6175e-05
10.1 0.404373 0.00101616 3.67118 0.00774638 0.0274052 0.000890076 7.4604e-05
10.2 0.406607 0.00101616 3.67118 0.0078043 0.0267227 0.000828439 5.9972e-05
10.3 0.40872 0.00101616 3.67118 0.00776606 0.0270978 0.000818353 5.7682e-05
10.4 0.41092 0.00101616 3.67118 0.00779605 0.0253285 0.000978813 5.8288e-05
10.5 0.413033 0.00101616 3.67118 0.007868 0.023172 0.00080411 5.7686e-05
10.6 0.415393 0.00101616 3.67118 0.0078897 0.0229295 0.000773046 5.5774e-05
10.7 0.417473 0.00101616 3.67118 0.00785088 0.0240837 0.000955553 5.8477e-05
10.8 0.41946 0.00101616 3.67118 0.00791367 0.0239293 0.000759774 5.5881e-05
10.9 0.42162 0.00101616 3.67118 0.00820435 0.0241399 0.000858922 5.6962e-05
11 0.42356 0.00101616 3.67118 0.00775315 0.0220219 0.000777562 5.6265e-05
11.1 0.42576 0.00101616 3.67118 0.00781499 0.0218358 0.000790145 5.5817e-05
11.2 0.427727 0.00101616 3.67118 0.00784788 0.0212787 0.000779263 5.6232e-05
11.3 0.42978 0.00101616 3.67118 0.00780639 0.0209003 0.000803784 5.545e-05
11.4 0.431807 0.00101616 3.67118 0.00773634 0.0208873 0.00084027 5.6493e-05
11.5 0.43376 0.00101616 3.67118 0.00791483 0.0230679 0.000774549 5.6572e-05
11.6 0.43564 0.00101616 3.67118 0.00806104 0.0252547 0.000796833 5.5885e-05
11.7 0.437613 0.00101616 3.67118 0.00811273 0.020351 0.000749133 5.3744e-05
11.8 0.439653 0.00101616 3.67118 0.00783444 0.0206322 0.000774391 5.687e-05
11.9 0.441653 0.00101616 3.67118 0.0081579 0.0248466 0.000827959 5.8795e-05
12 0.443653 0.00101616 3.67118 0.00836741 0.0209805 0.000768437 5.6274e-05
12.1 0.445627 0.00101616 3.67118 0.00825747 0.0201702 0.000821206 5.627e-05
12.2 0.44756 0.00101616 3.67118 0.00850831 0.0244889 0.000784903 5.4885e-05
12.3 0.449547 0.00101616 3.67118 0.00819435 0.0209401 0.000804377 5.5998e-05
12.4 0.45154 0.00101616 3.67118 0.0082124 0.0197048 0.000741073 5.5091e-05
12.5 0.453347 0.00101616 3.67118 0.00787643 0.0181711 0.000784605 5.4546e-05
12.6 0.455133 0.00101616 3.67118 0.0079099 0.0180533 0.000796464 5.4759e-05
12.7 0.4569 0.00101616 3.67118 0.00796719 0.0190069 0.000737945 5.4424e-05
12.8 0.458693 0.00101616 3.67118 0.00809269 0.0203168 0.000740618 5.4751e-05
12.9 0.46056 0.00101616 3.67118 0.00805067 0.0182343 0.000750064 5.4146e-05
13 0.46232 0.00101616 3.67118 0.00799698 0.0224059 0.000768703 5.4169e-05
13.1 0.46408 0.00101616 3.67118 0.00825569 0.0187263 0.0007742 5.5295e-05
13.2 0.465793 0.00101616 3.67118 0.0080248 0.0186922 0.000817301 5.4847e-05
13.3 0.467467 0.00101616 3.67118 0.00811657 0.0197915 0.000766512 5.5747e-05
13.4 0.469213 0.00101616 3.67118 0.00838242 0.0194529 0.000758877 5.5507e-05
13.5 0.470807 0.00101616 3.67118 0.00834512 0.0191409 0.000760102 5.4002e-05
13.6 0.472447 0.00101616 3.67118 0.00812266 0.0182423 0.000755807 5.4527e-05
13.7 0.473973 0.00101616 3.67118 0.0083386 0.0189272 0.000766436 5.4104e-05
13.8 0.475607 0.00101616 3.67118 0.00812182 0.0184758 0.000809358 5.4692e-05
13.9 0.4773 0.00101616 3.67118 0.00815201 0.0188217 0.000767732 5.5771e-05
14 0.478833 0.00101616 3.67118 0.00827409 0.0202713 0.000743086 5.4008e-05
14.1 0.480353 0.00101616 3.67118 0.00828481 0.020489 0.000788923 5.8139e-05
14.2 0.481727 0.00101616 3.67118 0.0086021 0.0207535 0.000801326 5.5981e-05
14.3 0.483353 0.00101616 3.67118 0.00843391 0.0232503 0.000868099 6.9069e-05
14.4 0.484793 0.00101616 3.67118 0.00879332 0.0213393 0.000784566 5.5408e-05
14.5 0.48632 0.00101616 3.67118 0.00864393 0.0207357 0.000781543 5.5147e-05
14.6 0.487773 0.00101616 3.67118 0.00867718 0.0217938 0.000776289 5.5742e-05
14.7 0.489107 0.00101616 3.67118 0.00871661 0.0250698 0.000776344 5.7397e-05
14.8 0.49034 0.00101616 3.67118 0.0088027 0.0251447 0.000808266 5.5295e-05
14.9 0.491673 0.00101616 3.67118 0.00881722 0.0221288 0.00077273 5.6574e-05
15 0.492967 0.00101616 3.67118 0.00869428 0.0204643 0.000794696 5.5408e-05
15.1 0.49432 0.00101616 3.67118 0.00868286 0.0194631 0.00076716 5.7994e-05
15.2 0.495627 0.00101616 3.67118 0.00880716 0.0204197 0.000783007 5.4923e-05
15.3 0.49686 0.00101616 3.67118 0.00873061 0.0201629 0.000741501 5.4539e-05
15.4 0.498073 0.00101616 3.67118 0.00852935 0.0190941 0.000767996 5.6025e-05
15.5 0.499373 0.00101616 3.67118 0.00861807 0.0195555 0.000767409 5.4503e-05
15.6 0.50058 0.00101616 3.67118 0.00860685 0.0190802 0.000829548 5.6311e-05
15.7 0.50174 0.00101616 3.67118 0.00880572 0.0194356 0.000788117 5.6351e-05
15.8 0.502913 0.00101616 3.67118 0.00867192 0.0194815 0.000743148 5.4651e-05
15.9 0.504093 0.00101616 3.67118 0.00908628 0.0201103 0.000771414 5.4893e-05
16 0.505267 0.00101616 3.67118 0.00885841 0.0199083 0.000742687 5.4514e-05
16.1 0.506413 0.00101616 3.67118 0.00896086 0.0200385 0.000747124 5.4472e-05
16.2 0.507373 0.00101616 3.67118 0.009324 0.0218227 0.000791915 5.5697e-05
16.3 0.508507 0.00101616 3.67118 0.00906547 0.0206402 0.000769245 5.4846e-05
16.4 0.509553 0.00101616 3.67118 0.00896713 0.0208574 0.000777239 5.5458e-05
16.5 0.510553 0.00101616 3.67118 0.00923046 0.0209385 0.0007541 5.4688e-05
16.6 0.511707 0.00101616 3.67118 0.00900665 0.0207471 0.000801248 5.545e-05
16.7 0.51274 0.00101616 3.67118 0.00907028 0.0206276 0.000796878 5.4919e-05
16.8 0.513687 0.00101616 3.67118 0.00908238 0.0221403 0.000770292 5.6069e-05
16.9 0.51476 0.00101616 3.67118 0.0091258 0.0207273 0.000760045 5.6295e-05
17 0.515727 0.00101616 3.67118 0.00911377 0.0206805 0.00078723 7.3124e-05
17.1 0.516627 0.00101616 3.67118 0.00915943 0.0220126 0.0008159 5.5716e-05
17.2 0.517647 0.00101616 3.67118 0.0092382 0.021099 0.000772709 5.6332e-05
17.3 0.518607 0.00101616 3.67118 0.00919761 0.0209941 0.000849645 6.9899e-05
17.4 0.51952 0.00101616 3.67118 0.00933181 0.0223845 0.000764764 5.6387e-05
17.5 0.520487 0.00101616 3.67118 0.00928342 0.0209863 0.00078645 8.2912e-05
17.6 0.521533 0.00101616 3.67118 0.00927624 0.0208239 0.000797478 5.5746e-05
17.7 0.522473 0.00101616 3.67118 0.00934211 0.0217501 0.000775172 5.5496e-05
17.8 0.523413 0.00101616 3.67118 0.00940078 0.020887 0.000793063 5.604e-05
17.9 0.524253 0.00101616 3.67118 0.00943972 0.0209652 0.000767162 5.6395e-05
18 0.525227 0.00101616 3.67118 0.00957426 0.0221576 0.000798105 7.3642e-05
18.1 0.526107 0.00101616 3.67118 0.00948464 0.0210139 0.00077495 5.6713e-05
18.2 0.526967 0.00101616 3.67118 0.00949498 0.0210093 0.000767641 5.5454e-05
18.3 0.527847 0.00101616 3.67118 0.00947455 0.022388 0.000763477 5.617e-05
18.4 0.528753 0.00101616 3.67118 0.00966012 0.0207192 0.000759812 5.57e-05
18.5 0.52964 0.00101616 3.67118 0.00956533 0.0209465 0.00084776 5.5737e-05
18.6 0.530533 0.00101616 3.67118 0.00959977 0.0220733 0.000758068 5.6176e-05
18.7 0.531307 0.00101616 3.67118 0.00963432 0.0210914 0.000793323 5.5299e-05
18.8 0.53212 0.00101616 3.67118 0.00968526 0.0209555 0.000776675 5.5652e-05
18.9 0.532907 0.00101616 3.67118 0.0097865 0.0216722 0.000843918 5.5329e-05
19 0.533667 0.00101616 3.67118 0.00966522 0.0209006 0.000765146 5.4786e-05
19.1 0.534467 0.00101616 3.67118 0.00975308 0.0212304 0.00077255 5.5568e-05
19.2 0.535287 0.00101616 3.67118 0.00972595 0.0225971 0.000759463 5.5457e-05
19.3 0.536127 0.00101616 3.67118 0.00981613 0.0209305 0.000824772 8.3893e-05
19.4 0.53688 0.00101616 3.67118 0.00977633 0.0209368 0.000772094 5.594e-05
19.5 0.5377 0.00101616 3.67118 0.009838 0.0214119 0.000778809 7.6521e-05
19.6 0.538493 0.00101616 3.67118 0.00980994 0.0209256 0.000787534 5.5803e-05
19.7 0.539287 0.00101616 3.67118 0.0100022 0.021184 0.000787557 5.6126e-05
19.8 0.54002 0.00101616 3.67118 0.00996789 0.0232881 0.000772478 5.5157e-05
19.9 0.540693 0.00101616 3.67118 0.0099477 0.0216847 0.000775406 5.5988e-05
20 0.54142 0.00101616 3.67118 0.0100183 0.0210579 0.000819352 5.6385e-05
20.1 0.542107 0.00101616 3.67118 0.01032 0.0211783 0.000768704 5.5899e-05
20.2 0.542833 0.00101616 3.67118 0.00993533 0.0208845 0.000809047 5.6491e-05
20.3 0.543593 0.00101616 3.67118 0.0100335 0.0209912 0.000770254 5.519e-05
20.4 0.544287 0.00101616 3.67118 0.010147 0.0209388 0.000801087 6.7663e-05
20.5 0.54506 0.00101616 3.67118 0.00997929 0.0209352 0.00078036 5.4454e-05
20.6 0.545807 0.00101616 3.67118 0.00990074 0.0206094 0.000753565 5.4441e-05
20.7 0.546513 0.00101616 3.67118 0.0100665 0.0203167 0.000800741 5.3959e-05
20.8 0.547233 0.00101616 3.67118 0.00984092 0.01959 0.000759447 5.351e-05
20.9 0.547933 0.00101616 3.67118 0.0100559 0.0207615 0.00076252 5.4115e-05
21 0.54864 0.00101616 3.67118 0.0101649 0.0209635 0.000861628 5.3986e-05
21.1 0.549353 0.00101616 3.67118 0.010049 0.0231137 0.000792262 5.4438e-05
21.2 0.550027 0.00101616 3.67118 0.0104674 0.022086 0.000809325 5.7172e-05
21.3 0.550693 0.00101616 3.67118 0.0103329 0.0217064 0.000780729 5.55e-05
21.4 0.551373 0.00101616 3.67118 0.010182 0.020416 0.000783622 5.4965e-05
21.5 0.551987 0.00101616 3.67118 0.00999575 0.0193045 0.000817664 5.6185e-05
21.6 0.552667 0.00101616 3.67118 0.0101206 0.0196905 0.00075453 5.5023e-05
21.7 0.55338 0.00101616 3.67118 0.0100858 0.0193033 0.000761983 5.5001e-05
21.8 0.554087 0.00101616 3.67118 0.0101379 0.0208761 0.00079228 5.6619e-05
21.9 0.554793 0.00101616 3.67118 0.0105023 0.0213058 0.000786405 5.43e-05
22 0.555473 0.00101616 3.67118 0.0105014 0.0223137 0.000780033 5.5766e-05
22.1 0.556153 0.00101616 3.67118 0.0106023 0.0219548 0.000786485 5.5922e-05
22.2 0.556793 0.00101616 3.67118 0.0103794 0.0210311 0.000753744 5.4097e-05
22.3 0.557473 0.00101616 3.67118 0.0102299 0.0197607 0.000755129 5.4244e-05
22.4 0.55812 0.00101616 3.67118 0.0101882 0.0200943 0.000750156 5.3531e-05
22.5 0.558767 0.00101616 3.67118 0.0102999 0.0195632 0.000737479 5.4499e-05
22.6 0.55938 0.00101616 3.67118 0.0102193 0.0192348 0.000740316 5.4206e-05
22.7 0.559987 0.00101616 3.67118 0.0103009 0.0197174 0.000777734 5.6101e-05
22.8 0.56064 0.00101616 3.67118 0.0104167 0.0196462 0.00074667 5.4494e-05
22.9 0.561233 0.00101616 3.67118 0.0103122 0.0200015 0.000754337 5.4487e-05
23 0.561807 0.00101616 3.67118 0.0105233 0.020137 0.000752754 5.5798e-05
23.1 0.56242 0.00101616 3.67118 0.0104387 0.0196314 0.000759187 5.4177e-05
23.2 0.563047 0.00101616 3.67118 0.0103455 0.0193436 0.000760426 5.425e-05
23.3 0.563653 0.00101616 3.67118 0.010461 0.0194258 0.000747022 5.3996e-05
23.4 0.564333 0.00101616 3.67118 0.0106352 0.0198699 0.000750782 5.4002e-05
23.5 0.564967 0.00101616 3.67118 0.0104423 0.0196391 0.000779704 5.5442e-05
23.6 0.56556 0.00101616 3.67118 0.0107324 0.020328 0.000777151 5.3677e-05
23.7 0.566133 0.00101616 3.67118 0.0107776 0.0207156 0.000733713 5.405e-05
23.8 0.566787 0.00101616 3.67118 0.010707 0.0220052 0.000780993 5.4525e-05
23.9 0.56736 0.00101616 3.67118 0.0109292 0.0244919 0.000846644 5.6051e-05
24 0.568 0.00101616 3.67118 0.01094 0.019816 0.000756936 5.4316e-05
24.1 0.568593 0.00101616 3.67118 0.0105777 0.0195326 0.00074289 5.5187e-05
24.2 0.569133 0.00101616 3.67118 0.0107068 0.0202775 0.000752418 5.4677e-05
24.3 0.56974 0.00101616 3.67118 0.0107335 0.0196705 0.00075885 5.5536e-05
24.4 0.57034 0.00101616 3.67118 0.0106688 0.0195163 0.000741113 5.4642e-05
24.5 0.570913 0.00101616 3.67118 0.0106836 0.0202744 0.000774843 5.4539e-05
24.6 0.571493 0.00101616 3.67118 0.0108271 0.0197431 0.000740795 5.4449e-05
24.7 0.572053 0.00101616 3.67118 0.0107749 0.0204575 0.000817831 5.579e-05
24.8 0.572667 0.00101616 3.67118 0.0111054 0.020619 0.000765383 5.4732e-05
24.9 0.573253 0.00101616 3.67118 0.0108189 0.0196671 0.000780245 5.4636e-05
25 0.57382 0.00101616 3.67118 0.0109011 0.0195998 0.000757429 5.4812e-05
25.1 0.574373 0.00101616 3.67118 0.0108756 0.0205825 0.000757131 5.6265e-05
25.2 0.574927 0.00101616 3.67118 0.0111156 0.0199606 0.000739309 5.4858e-05
25.3 0.57552 0.00101616 3.67118 0.0110212 0.0203842 0.000766949 5.5997e-05
25.4 0.576067 0.00101616 3.67118 0.011208 0.0209561 0.000741613 5.4323e-05
25.5 0.57666 0.00101616 3.67118 0.0109598 0.0194121 0.000754497 5.536e-05
25.6 0.577207 0.00101616 3.67118 0.0109788 0.0198708 0.000747298 5.4309e-05
25.7 0.577753 0.00101616 3.67118 0.011068 0.0209356 0.000835681 5.4131e-05
25.8 0.57834 0.00101616 3.67118 0.0110803 0.0199585 0.000743945 5.4949e-05
25.9 0.578887 0.00101616 3.67118 0.0110951 0.0205896 0.000773736 5.5341e-05
26 0.57948 0.00101616 3.67118 0.011185 0.021176 0.000817728 5.3909e-05
26.1 0.580027 0.00101616 3.67118 0.0112109 0.0195196 0.000775659 5.4567e-05
26.2 0.58058 0.00101616 3.67118 0.0111551 0.0195482 0.000773656 5.48e-05
26.3 0.5811 0.00101616 3.67118 0.0111916 0.0210778 0.000747697 5.5984e-05
26.4 0.581587 0.00101616 3.67118 0.0111627 0.01952 0.000774374 5.442e-05
26.5 0.582147 0.00101616 3.67118 0.0112093 0.0210889 0.000742044 5.4262e-05
26.6 0.582707 0.00101616 3.67118 0.0113621 0.021235 0.000754169 5.4764e-05
26.7 0.583293 0.00101616 3.67118 0.0112864 0.0196227 0.000780502 6.88e-05
26.8 0.583847 0.00101616 3.67118 0.0113297 0.0194711 0.000754847 5.4466e-05
26.9 0.5844 0.00101616 3.67118 0.0113782 0.0208319 0.000790207 5.3946e-05
27 0.58494 0.00101616 3.67118 0.0113318 0.0194631 0.000749862 5.395e-05
27.1 0.585507 0.00101616 3.67118 0.0113233 0.0194806 0.000770276 5.431e-05
27.2 0.58604 0.00101616 3.67118 0.0114619 0.0206878 0.000744983 5.4596e-05
27.3 0.586567 0.00101616 3.67118 0.0114878 0.0195329 0.000813144 5.4945e-05
27.4 0.587127 0.00101616 3.67118 0.0114787 0.0193609 0.000746234 5.4665e-05
27.5 0.58766 0.00101616 3.67118 0.0115223 0.0200816 0.000781118 5.4574e-05
27.6 0.588187 0.00101616 3.67118 0.0115235 0.019534 0.000742242 5.4198e-05
27.7 0.588727 0.00101616 3.67118 0.0114182 0.0195356 0.000776386 5.4438e-05
27.8 0.589327 0.00101616 3.67118 0.0116192 0.0198618 0.000754036 5.5375e-05
27.9 0.58986 0.00101616 3.67118 0.0116648 0.0194136 0.000757493 5.4093e-05
28 0.590413 0.00101616 3.67118 0.0115272 0.0192929 0.000753373 5.4443e-05
28.1 0.59094 0.00101616 3.67118 0.0117302 0.0205611 0.000795373 5.4806e-05
28.2 0.591447 0.00101616 3.67118 0.0115872 0.0194944 0.000766352 5.4856e-05
28.3 0.592 0.00101616 3.67118 0.011676 0.0193173 0.000746501 5.4367e-05
28.4 0.592527 0.00101616 3.67118 0.0118916 0.0199918 0.000777851 5.4583e-05
28.5 0.593047 0.00101616 3.67118 0.0116655 0.0218632 0.000782422 5.4535e-05
28.6 0.593567 0.00101616 3.67118 0.0117015 0.0196013 0.000758667 5.4046e-05
28.7 0.594107 0.00101616 3.67118 0.0122628 0.0200917 0.00076092 5.4475e-05
28.8 0.594667 0.00101616 3.67118 0.0117427 0.0196375 0.000747537 5.3579e-05
28.9 0.59522 0.00101616 3.67118 0.0117454 0.0199104 0.000790157 5.58e-05
29 0.595787 0.00101616 3.67118 0.0119264 0.0199017 0.000778712 5.4283e-05
29.1 0.596367 0.00101616 3.67118 0.0118165 0.0198104 0.000775804 5.4234e-05
29.2 0.596893 0.00101616 3.67118 0.0118432 0.0203193 0.000783942 5.3653e-05
29.3 0.59746 0.00101616 3.67118 0.0118186 0.019505 0.000752228 5.3747e-05
29.4 0.59798 0.00101616 3.67118 0.0117923 0.0193663 0.000755415 5.3773e-05
29.5 0.598487 0.00101616 3.67118 0.0119048 0.0208736 0.000752826 5.4627e-05
29.6 0.599013 0.00101616 3.67118 0.0119889 0.0199056 0.000789185 5.4905e-05
29.7 0.599573 0.00101616 3.67118 0.0119656 0.019624 0.000764804 5.4764e-05
29.8 0.600133 0.00101616 3.67118 0.0119842 0.0207667 0.000743254 5.4502e-05
29.9 0.60064 0.00101616 3.67118 0.0120648 0.0193958 0.000777259 5.4394e-05
30 0.601167 0.00101616 3.67118 0.0120697 0.0193203 0.000773487 5.46e-05
30.1 0.6017 0.00101616 3.67118 0.0120162 0.0208359 0.000775615 5.4445e-05
30.2 0.602247 0.00101616 3.67118 0.0120959 0.0191117 0.000757111 5.3599e-05
30.3 0.60276 0.00101616 3.67118 0.0120547 0.0190712 0.00076061 5.4395e-05
30.4 0.603327 0.00101616 3.67118 0.0120849 0.0213745 0.000756482 5.4289e-05
30.5 0.603853 0.00101616 3.67118 0.0122112 0.0191499 0.000760527 5.411e-05
